ATag,MTurk,ES.explicitly.reported,ES.Inferable,PPV.Computable,Multiple.Comparisons.Present,Machine.Learning,Signal.Detection.Theory,Selected.for.ES.Comparison,Small.User.Study,SEM,LogReg,MC.Violated,Replication.Study,PubYear,ACPA,Sample,Citations.GS.2021.06.07,Study1,Study2,Study3,Study4,Study5
97b839d8167efe77b1dd87e028ae56fe0cdd7b48,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,2006,191.7333333,294,2876,NA,,,,
ec94bd14c087672496f430e231aa562e850aec30,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2013,15.625,333,125,386,280,,,
ff8884f3be8fd2b99e438d98891edc9229dd83bc,Yes,Not Applicable,Not Applicable,No,No,Yes,No,No,No,No,No,No,No,2012,31.11111111,68,280,NA,,,,
09f4f878110c1bb18c7f807fb6709b867d8ce2af,No,Not Applicable,Not Applicable,No,No,No,No,No,No,No,No,No,No,2014,15.85714286,439,111,NA,,,,
050a7b4230cdbc064c684273db6b1fd2c3246ae0,No,No,No,No,No,No,No,No,No,No,No,No,No,2013,9,53,72,NA,,,,
2ca03364a274d45743f27b80fe00876c568ec576,No,Not Applicable,Not Applicable,No,No,Yes,No,No,No,No,No,No,No,2007,29.42857143,22,412,NA,,,,
308a13f186653702d650422aa8aea3f2347e0268,No,No,No,No,No,No,No,No,No,No,No,No,No,2013,NA,NA,NA,NA,,,,
e114998a1ba509a3a73acb3297a53396dc15d3ff,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,2015,1.666666667,24,10,NA,,,,
6d206a1a451da3233765fe7662368b7b0a2eaf91,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,2015,2,56,12,NA,,,,
4814816d9cb023ca2844759479d0c124c31649fa,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,2014,NA,NA,NA,NA,,,,
4534934334837519ea00524e6e65a2436dd6d3ae,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,2015,4.166666667,549,25,NA,,,,
ca33383859eec58179d42276d23bb2e3273a6e18,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,2015,5.666666667,36,34,NA,,,,
e89d3d892773dffde506ba6596204ad243832587,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,2014,16.42857143,228,115,NA,,,,
acb943b477c36dec417534bdd09897d87f02ffb2,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,2015,5.333333333,30,32,NA,,,,
6c077be35ec0b5a28230dd10fd5cb39d00dc3726,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2007,NA,NA,NA,NA,,,,
